date_added,hq,name,sector,symbol
1957-03-04,"Atlanta, Georgia",Coca-Cola Company (The),Consumer Staples,KO
2006-11-17,"Teaneck, New Jersey",Cognizant,Information Technology,CTSH
1957-03-04,"New York City, New York",Colgate-Palmolive,Consumer Staples,CL
2002-11-19,"Philadelphia, Pennsylvania",Comcast,Communication Services,CMCSA
1983-08-31,"Chicago, Illinois",Conagra Brands,Consumer Staples,CAG
1957-03-04,"Houston, Texas",ConocoPhillips,Energy,COP
1957-03-04,"New York City, New York",Consolidated Edison,Utilities,ED
2005-07-01,"Rochester, New York",Constellation Brands,Consumer Staples,STZ
2022-02-02,"Baltimore, Maryland",Constellation Energy,Utilities,CEG
2016-09-23,"San Ramon, California",Cooper Companies (The),Health Care,COO
2018-07-02,"Dallas, Texas",Copart,Industrials,CPRT
1995-02-27,"Corning, New York",Corning Inc.,Information Technology,GLW
2018-06-20,"Atlanta, Georgia",Corpay,Financials,CPAY
2019-06-03,"Indianapolis, Indiana",Corteva,Materials,CTVA
2022-09-19,"Washington, D.C.",CoStar Group,Real Estate,CSGP
1993-10-01,"Issaquah, Washington",Costco,Consumer Staples,COST
2008-06-23,"Houston, Texas",Coterra,Energy,CTRA
2024-06-24,"Austin, Texas",CrowdStrike,Information Technology,CRWD
2012-03-14,"Houston, Texas",Crown Castle,Real Estate,CCI
1957-03-04,"Jacksonville, Florida",CSX Corporation,Industrials,CSX
1965-03-31,"Columbus, Indiana",Cummins,Industrials,CMI
1957-03-04,"Woonsocket, Rhode Island",CVS Health,Health Care,CVS
1998-11-18,"Washington, D.C.",Danaher Corporation,Health Care,DHR
1995-05-31,"Orlando, Florida",Darden Restaurants,Consumer Discretionary,DRI
2008-07-31,"Denver, Colorado",DaVita,Health Care,DVA
2021-09-20,"Minneapolis, Minnesota",Dayforce,Industrials,DAY
2024-03-18,"Goleta, California",Deckers Brands,Consumer Discretionary,DECK
1957-03-04,"Moline, Illinois",Deere & Company,Industrials,DE
2024-09-23,"Round Rock, Texas",Dell Technologies,Information Technology,DELL
2013-09-11,"Atlanta, Georgia",Delta Air Lines,Industrials,DAL
2000-08-30,"Oklahoma City, Oklahoma",Devon Energy,Energy,DVN
2020-05-12,"San Diego, California",Dexcom,Health Care,DXCM
2018-12-03,"Midland, Texas",Diamondback Energy,Energy,FANG
2016-05-18,"Austin, Texas",Digital Realty,Real Estate,DLR
2007-07-02,"Riverwoods, Illinois",Discover Financial,Financials,DFS
2012-12-03,"Goodlettsville, Tennessee",Dollar General,Consumer Staples,DG
2011-12-19,"Chesapeake, Virginia",Dollar Tree,Consumer Staples,DLTR
2016-11-30,"Richmond, Virginia",Dominion Energy,Utilities,D
2020-05-12,"Ann Arbor, Michigan",Domino's,Consumer Discretionary,DPZ
1985-10-31,"Downers Grove, Illinois",Dover Corporation,Industrials,DOV
2019-04-01,"Midland, Michigan",Dow Inc.,Materials,DOW
2005-06-22,"Arlington, Texas",D. R. Horton,Consumer Discretionary,DHI
1957-03-04,"Detroit, Michigan",DTE Energy,Utilities,DTE
1976-06-30,"Charlotte, North Carolina",Duke Energy,Utilities,DUK
2019-04-02,"Wilmington, Delaware",DuPont,Materials,DD
1994-01-01,"Kingsport, Tennessee",Eastman Chemical Company,Materials,EMN
1957-03-04,"Dublin, Ireland",Eaton Corporation,Industrials,ETN
2002-07-22,"San Jose, California",eBay,Consumer Discretionary,EBAY
1989-01-31,"Saint Paul, Minnesota",Ecolab,Materials,ECL
1957-03-04,"Rosemead, California",Edison International,Utilities,EIX
2011-04-01,"Irvine, California",Edwards Lifesciences,Health Care,EW
2002-07-22,"Redwood City, California",Electronic Arts,Communication Services,EA
2002-07-25,"Indianapolis, Indiana",Elevance Health,Health Care,ELV
1965-03-31,"Ferguson, Missouri",Emerson Electric,Industrials,EMR
2021-01-07,"Fremont, California",Enphase Energy,Information Technology,ENPH
1957-03-04,"New Orleans, Louisiana",Entergy,Utilities,ETR
2000-11-02,"Houston, Texas",EOG Resources,Energy,EOG
2021-12-14,"Newtown, Pennsylvania",EPAM Systems,Information Technology,EPAM
2022-10-03,"Pittsburgh, Pennsylvania",EQT Corporation,Energy,EQT
1997-06-19,"Atlanta, Georgia",Equifax,Industrials,EFX
2015-03-20,"Redwood City, California",Equinix,Real Estate,EQIX
2001-12-03,"Chicago, Illinois",Equity Residential,Real Estate,EQR
2024-09-23,"Erie, Pennsylvania",Erie Indemnity,Financials,ERIE
2014-04-02,"San Mateo, California",Essex Property Trust,Real Estate,ESS
2006-01-05,"New York City, New York",Estée Lauder Companies (The),Consumer Staples,EL
2017-06-19,"Hamilton, Bermuda",Everest Group,Financials,EG
2018-06-05,"Kansas City, Missouri",Evergy,Utilities,EVRG
2009-07-24,"Hartford, Connecticut",Eversource Energy,Utilities,ES
1957-03-04,"Chicago, Illinois",Exelon,Utilities,EXC
2007-10-02,"Seattle, Washington",Expedia Group,Consumer Discretionary,EXPE
2007-10-10,"Seattle, Washington",Expeditors International,Industrials,EXPD
2016-01-19,"Salt Lake City, Utah",Extra Space Storage,Real Estate,EXR
1957-03-04,"Irving, Texas",ExxonMobil,Energy,XOM
2010-12-20,"Seattle, Washington","F5, Inc.",Information Technology,FFIV
2021-12-20,"Norwalk, Connecticut",FactSet,Financials,FDS
2023-03-20,"Bozeman, Montana",Fair Isaac,Information Technology,FICO
2008-09-15,"Winona, Minnesota",Fastenal,Industrials,FAST
2016-02-01,"Rockville, Maryland",Federal Realty Investment Trust,Real Estate,FRT
1980-12-31,"Memphis, Tennessee",FedEx,Industrials,FDX
2006-11-10,"Jacksonville, Florida",Fidelity National Information Services,Financials,FIS
1996-03-29,"Cincinnati, Ohio",Fifth Third Bancorp,Financials,FITB
2022-12-19,"Tempe, Arizona",First Solar,Information Technology,FSLR
1997-11-28,"Akron, Ohio",FirstEnergy,Utilities,FE
2001-04-02,"Brookfield, Wisconsin",Fiserv,Financials,FI
2009-08-19,"Philadelphia, Pennsylvania",FMC Corporation,Materials,FMC
1957-03-04,"Dearborn, Michigan",Ford Motor Company,Consumer Discretionary,F
2018-10-11,"Sunnyvale, California",Fortinet,Information Technology,FTNT
2016-07-01,"Everett, Washington",Fortive,Industrials,FTV
2019-03-04,"New York City, New York",Fox Corporation,Communication Services,FOXA
2019-03-04,"New York City, New York",Fox Corporation,Communication Services,FOX
1998-04-30,"San Mateo, California",Franklin Resources,Financials,BEN
2011-07-01,"Phoenix, Arizona",Freeport-McMoRan,Materials,FCX
2012-12-12,"Schaffhausen, Switzerland",Garmin,Consumer Discretionary,GRMN
2017-04-05,"Stamford, Connecticut",Gartner,Information Technology,IT
1957-03-04,"Evendale, Ohio",GE Aerospace,Industrials,GE
2023-01-04,"Chicago, Illinois",GE HealthCare,Health Care,GEHC
2024-04-02,"Cambridge, Massachusetts",GE Vernova,Industrials,GEV
2003-03-25,"Tempe, Arizona",Gen Digital,Information Technology,GEN
2021-03-22,"Waukesha, Wisconsin",Generac,Industrials,GNRC
1957-03-04,"Falls Church, Virginia",General Dynamics,Industrials,GD
1957-03-04,"Golden Valley, Minnesota",General Mills,Consumer Staples,GIS
2013-06-06,"Detroit, Michigan",General Motors,Consumer Discretionary,GM
1973-12-31,"Atlanta, Georgia",Genuine Parts Company,Consumer Discretionary,GPC
2004-07-01,"Foster City, California",Gilead Sciences,Health Care,GILD
2016-04-25,"Atlanta, Georgia",Global Payments,Financials,GPN
1989-04-30,"McKinney, Texas",Globe Life,Financials,GL
2024-06-24,"Tempe, Arizona",GoDaddy,Information Technology,GDDY
2002-07-22,"New York City, New York",Goldman Sachs,Financials,GS
1957-03-04,"Houston, Texas",Halliburton,Energy,HAL
1957-03-04,"Hartford, Connecticut",Hartford (The),Financials,HIG
1984-09-30,"Pawtucket, Rhode Island",Hasbro,Consumer Discretionary,HAS
2015-01-27,"Nashville, Tennessee",HCA Healthcare,Health Care,HCA
2008-03-31,"Denver, Colorado",Healthpeak Properties,Real Estate,DOC
2015-03-17,"Melville, New York",Henry Schein,Health Care,HSIC
1957-03-04,"Hershey, Pennsylvania",Hershey Company (The),Consumer Staples,HSY
1984-05-31,"New York City, New York",Hess Corporation,Energy,HES
2015-11-02,"Houston, Texas",Hewlett Packard Enterprise,Information Technology,HPE
2017-06-19,"Tysons Corner, Virginia",Hilton Worldwide,Consumer Discretionary,HLT
2016-03-30,"Marlborough, Massachusetts",Hologic,Health Care,HOLX
1988-03-31,"Atlanta, Georgia",Home Depot (The),Consumer Discretionary,HD
1957-03-04,"Charlotte, North Carolina",Honeywell,Industrials,HON
2009-03-04,"Austin, Minnesota",Hormel Foods,Consumer Staples,HRL
2007-03-20,"Bethesda, Maryland",Host Hotels & Resorts,Real Estate,HST
2016-10-21,"Pittsburgh, Pennsylvania",Howmet Aerospace,Industrials,HWM
1974-12-31,"Palo Alto, California",HP Inc.,Information Technology,HPQ
2023-10-18,"Shelton, Connecticut",Hubbell Incorporated,Industrials,HUBB
2012-12-10,"Louisville, Kentucky",Humana,Health Care,HUM
1997-08-28,"Columbus, Ohio",Huntington Bancshares,Financials,HBAN
2018-01-03,"Newport News, Virginia",Huntington Ingalls Industries,Industrials,HII
1957-03-04,"Armonk, New York",IBM,Information Technology,IBM
2019-08-09,"Lake Forest, Illinois",IDEX Corporation,Industrials,IEX
2017-01-05,"Westbrook, Maine",Idexx Laboratories,Health Care,IDXX
1986-02-28,"Glenview, Illinois",Illinois Tool Works,Industrials,ITW
2017-02-28,"Wilmington, Delaware",Incyte,Health Care,INCY
2020-03-03,"Davidson, North Carolina",Ingersoll Rand,Industrials,IR
2023-03-15,"Acton, Massachusetts",Insulet Corporation,Health Care,PODD
1976-12-31,"Santa Clara, California",Intel,Information Technology,INTC
2007-09-26,"Atlanta, Georgia",Intercontinental Exchange,Financials,ICE
1976-03-31,"New York City, New York",International Flavors & Fragrances,Materials,IFF
1957-03-04,"Memphis, Tennessee",International Paper,Materials,IP
1992-10-01,"New York City, New York",Interpublic Group of Companies (The),Communication Services,IPG
2000-12-05,"Mountain View, California",Intuit,Information Technology,INTU
2008-06-02,"Sunnyvale, California",Intuitive Surgical,Health Care,ISRG
2008-08-21,"Atlanta, Georgia",Invesco,Financials,IVZ
2022-09-19,"Dallas, Texas",Invitation Homes,Real Estate,INVH
2017-08-29,"Durham, North Carolina",IQVIA,Health Care,IQV
2009-01-06,"Boston, Massachusetts",Iron Mountain,Real Estate,IRM
2015-07-01,"Lowell, Arkansas",J.B. Hunt,Industrials,JBHT
2023-12-18,"St. Petersburg, Florida",Jabil,Information Technology,JBL
2018-11-13,"Monett, Missouri",Jack Henry & Associates,Financials,JKHY
2007-10-26,"Dallas, Texas",Jacobs Solutions,Industrials,J
1973-06-30,"New Brunswick, New Jersey",Johnson & Johnson,Health Care,JNJ
2010-08-27,"Cork, Ireland",Johnson Controls,Industrials,JCI
1975-06-30,"New York City, New York",JPMorgan Chase,Financials,JPM
2006-06-02,"Sunnyvale, California",Juniper Networks,Information Technology,JNPR
1989-09-11,"Chicago, Illinois",Kellanova,Consumer Staples,K
2023-08-25,"Skillman, New Jersey",Kenvue,Consumer Staples,KVUE
2022-06-21,"Burlington, Massachusetts",Keurig Dr Pepper,Consumer Staples,KDP
1994-03-01,"Cleveland, Ohio",KeyCorp,Financials,KEY
2018-11-06,"Santa Rosa, California",Keysight Technologies,Information Technology,KEYS
1957-03-04,"Irving, Texas",Kimberly-Clark,Consumer Staples,KMB
2006-04-04,"Jericho, New York",Kimco Realty,Real Estate,KIM
2012-05-25,"Houston, Texas",Kinder Morgan,Energy,KMI
2024-06-24,"New York City, New York",KKR,Financials,KKR
1997-09-30,"Milpitas, California",KLA Corporation,Information Technology,KLAC
2015-07-06,"Chicago, Illinois",Kraft Heinz,Consumer Staples,KHC
1957-03-04,"Cincinnati, Ohio",Kroger,Consumer Staples,KR
2008-09-22,"Melbourne, Florida",L3Harris,Industrials,LHX
2004-11-01,"Burlington, North Carolina",LabCorp,Health Care,LH
2012-06-29,"Fremont, California",Lam Research,Information Technology,LRCX
2018-12-03,"Eagle, Idaho",Lamb Weston,Consumer Staples,LW
2019-10-03,"Las Vegas, Nevada",Las Vegas Sands,Consumer Discretionary,LVS
2019-08-09,"Reston, Virginia",Leidos,Industrials,LDOS
2005-10-04,"Miami, Florida",Lennar,Consumer Discretionary,LEN
2024-12-23,"Richardson, Texas",Lennox International,Industrials,LII
1970-12-31,"Indianapolis, Indiana",Lilly (Eli),Health Care,LLY
1992-07-01,"Guildford, United Kingdom",Linde plc,Materials,LIN
2019-12-23,"Beverly Hills, California",Live Nation Entertainment,Communication Services,LYV
2016-05-23,"Chicago, Illinois",LKQ Corporation,Consumer Discretionary,LKQ
1957-03-04,"Bethesda, Maryland",Lockheed Martin,Industrials,LMT
1995-05-31,"New York City, New York",Loews Corporation,Financials,L
1984-02-29,"Mooresville, North Carolina",Lowe's,Consumer Discretionary,LOW
2023-10-18,"Vancouver, Canada",Lululemon Athletica,Consumer Discretionary,LULU
2012-09-05,"Rotterdam, Netherlands",LyondellBasell,Materials,LYB
2004-02-23,"Buffalo, New York",M&T Bank,Financials,MTB
2011-07-01,"Findlay, Ohio",Marathon Petroleum,Energy,MPC
2019-07-01,"New York City, New York",MarketAxess,Financials,MKTX
1998-05-29,"Bethesda, Maryland",Marriott International,Consumer Discretionary,MAR
1987-08-31,"New York City, New York",Marsh McLennan,Financials,MMC
2014-07-02,"Raleigh, North Carolina",Martin Marietta Materials,Materials,MLM
1981-06-30,"Livonia, Michigan",Masco,Industrials,MAS
2008-07-18,"Harrison, New York",Mastercard,Financials,MA
2021-09-20,"Dallas, Texas",Match Group,Communication Services,MTCH
2003-03-20,"Hunt Valley, Maryland",McCormick & Company,Consumer Staples,MKC
1970-06-30,"Chicago, Illinois",McDonald's,Consumer Discretionary,MCD
1999-01-13,"Irving, Texas",McKesson Corporation,Health Care,MCK
1986-10-31,"Dublin, Ireland",Medtronic,Health Care,MDT
1957-03-04,"Kenilworth, New Jersey",Merck & Co.,Health Care,MRK
2013-12-23,"Menlo Park, California",Meta Platforms,Communication Services,META
2000-12-11,"New York City, New York",MetLife,Financials,MET
2016-09-06,"Columbus, Ohio",Mettler Toledo,Health Care,MTD
2017-07-26,"Paradise, Nevada",MGM Resorts,Consumer Discretionary,MGM
2007-09-07,"Chandler, Arizona",Microchip Technology,Information Technology,MCHP
1994-09-27,"Boise, Idaho",Micron Technology,Information Technology,MU
1994-06-01,"Redmond, Washington",Microsoft,Information Technology,MSFT
2016-12-02,"Memphis, Tennessee",Mid-America Apartment Communities,Real Estate,MAA
2021-07-21,"Cambridge, Massachusetts",Moderna,Health Care,MRNA
2013-12-23,"Calhoun, Georgia",Mohawk Industries,Consumer Discretionary,MHK
2022-03-02,"Long Beach, California",Molina Healthcare,Health Care,MOH
1976-06-30,"Chicago, Illinois",Molson Coors Beverage Company,Consumer Staples,TAP
2012-10-02,"Chicago, Illinois",Mondelez International,Consumer Staples,MDLZ
2021-02-12,"Kirkland, Washington",Monolithic Power Systems,Information Technology,MPWR
2012-06-28,"Corona, California",Monster Beverage,Consumer Staples,MNST
1998-07-01,"New York City, New York",Moody's Corporation,Financials,MCO
1993-07-29,"New York City, New York",Morgan Stanley,Financials,MS
2011-09-26,"Tampa, Florida",Mosaic Company (The),Materials,MOS
1957-03-04,"Chicago, Illinois",Motorola Solutions,Information Technology,MSI
2018-04-04,"New York City, New York",MSCI,Financials,MSCI
2008-10-22,"New York City, New York","Nasdaq, Inc.",Financials,NDAQ
1999-06-25,"San Jose, California",NetApp,Information Technology,NTAP
2010-12-20,"Los Gatos, California",Netflix,Communication Services,NFLX
1969-06-30,"Denver, Colorado",Newmont,Materials,NEM
2013-08-01,"New York City, New York",News Corp,Communication Services,NWSA
2015-09-18,"New York City, New York",News Corp,Communication Services,NWS
1976-06-30,"Juno Beach, Florida",NextEra Energy,Utilities,NEE
1988-11-30,"Washington County, Oregon","Nike, Inc.",Consumer Discretionary,NKE
2000-11-02,"Merrillville, Indiana",NiSource,Utilities,NI
2022-02-15,"Westlake, Ohio",Nordson Corporation,Industrials,NDSN
1957-03-04,"Atlanta, Georgia",Norfolk Southern Railway,Industrials,NSC
1998-01-30,"Chicago, Illinois",Northern Trust,Financials,NTRS
1957-03-04,"West Falls Church, Virginia",Northrop Grumman,Industrials,NOC
2017-10-13,"Miami, Florida",Norwegian Cruise Line Holdings,Consumer Discretionary,NCLH
2010-01-29,"Houston, Texas",NRG Energy,Utilities,NRG
1985-04-30,"Charlotte, North Carolina",Nucor,Materials,NUE
2001-11-30,"Santa Clara, California",Nvidia,Information Technology,NVDA
2019-09-26,"Reston, Virginia","NVR, Inc.",Consumer Discretionary,NVR
2021-03-22,"Eindhoven, Netherlands",NXP Semiconductors,Information Technology,NXPI
2009-03-27,"Springfield, Missouri",O'Reilly Auto Parts,Consumer Discretionary,ORLY
1957-03-04,"Houston, Texas",Occidental Petroleum,Energy,OXY
2019-12-09,"Thomasville, North Carolina",Old Dominion,Industrials,ODFL
1997-12-31,"New York City, New York",Omnicom Group,Communication Services,OMC
2022-06-21,"Phoenix, Arizona",ON Semiconductor,Information Technology,ON
2010-03-15,"Tulsa, Oklahoma",ONEOK,Energy,OKE
1989-08-31,"Austin, Texas",Oracle Corporation,Information Technology,ORCL
2020-04-03,"Farmington, Connecticut",Otis Worldwide,Industrials,OTIS
1980-12-31,"Bellevue, Washington",Paccar,Industrials,PCAR
2017-07-26,"Lake Forest, Illinois",Packaging Corporation of America,Materials,PKG
2024-09-23,"Denver, Colorado",Palantir Technologies,Information Technology,PLTR
2023-06-20,"Santa Clara, California",Palo Alto Networks,Information Technology,PANW
1994-09-30,"New York City, New York",Paramount Global,Communication Services,PARA
1985-11-30,"Cleveland, Ohio",Parker Hannifin,Industrials,PH
1998-10-01,"Penfield, New York",Paychex,Industrials,PAYX
2020-01-28,"Oklahoma City, Oklahoma",Paycom,Industrials,PAYC
2015-07-20,"San Jose, California",PayPal,Financials,PYPL
2012-10-01,"Worsley, United Kingdom",Pentair,Industrials,PNR
1957-03-04,"Purchase, New York",PepsiCo,Consumer Staples,PEP
1957-03-04,"New York City, New York",Pfizer,Health Care,PFE
2022-10-03,"Oakland, California",PG&E Corporation,Utilities,PCG
2008-03-31,"New York City, New York",Philip Morris International,Consumer Staples,PM
2012-05-01,"Houston, Texas",Phillips 66,Energy,PSX
1999-10-04,"Phoenix, Arizona",Pinnacle West,Utilities,PNW
1988-04-30,"Pittsburgh, Pennsylvania",PNC Financial Services,Financials,PNC
2020-10-07,"Covington, Louisiana",Pool Corporation,Consumer Discretionary,POOL
1957-03-04,"Pittsburgh, Pennsylvania",PPG Industries,Materials,PPG
2001-10-01,"Allentown, Pennsylvania",PPL Corporation,Utilities,PPL
2002-07-22,"Des Moines, Iowa",Principal Financial Group,Financials,PFG
1957-03-04,"Cincinnati, Ohio",Procter & Gamble,Consumer Staples,PG
1997-08-04,"Mayfield Village, Ohio",Progressive Corporation,Financials,PGR
2003-07-17,"San Francisco, California",Prologis,Real Estate,PLD
2002-07-22,"Newark, New Jersey",Prudential Financial,Financials,PRU
1957-03-04,"Newark, New Jersey",Public Service Enterprise Group,Utilities,PEG
2021-04-20,"Boston, Massachusetts",PTC Inc.,Information Technology,PTC
2005-08-19,"Glendale, California",Public Storage,Real Estate,PSA
1984-04-30,"Atlanta, Georgia",PulteGroup,Consumer Discretionary,PHM
2009-07-01,"Houston, Texas",Quanta Services,Industrials,PWR
1999-07-22,"San Diego, California",Qualcomm,Information Technology,QCOM
2002-12-12,"Secaucus, New Jersey",Quest Diagnostics,Health Care,DGX
2007-02-02,"New York City, New York",Ralph Lauren Corporation,Consumer Discretionary,RL
